Method,Area Size,Number of Drones,Number of Users,Coverage,Average Signal Strength,Average Energy Consumption,Execution Time (s)
DFO,50,20,50,48,inf,100.0,2.2007644176483154
Random,50,20,100,98,-33.69367104591743,100.0,0.0
Grid,50,20,100,100,inf,100.0,0.0
Greedy,50,20,100,100,inf,100.0,0.08359622955322266
PSO,50,20,100,56,-31.041173062178235,100.0,0.8404159545898438
DFO,50,20,100,98,-33.69367104591743,100.0,3.5991926193237305
Random,50,20,150,134,-33.68204654221467,100.0,0.0
Grid,50,20,150,150,inf,100.0,0.0
Greedy,50,20,150,150,inf,100.0,0.18723320960998535
PSO,50,20,150,78,-28.82661092144002,100.0,0.9288914203643799
DFO,50,20,150,134,-33.68204654221467,100.0,5.839859962463379
Random,50,30,50,48,-32.01907558244802,100.0,0.0
Grid,50,30,50,50,inf,100.0,0.0
Greedy,50,30,50,50,inf,100.0,0.026998043060302734
PSO,50,30,50,35,-32.050883762221645,100.0,0.7811849117279053
DFO,50,30,50,48,-32.01907558244802,100.0,4.1210832595825195
Random,50,30,100,100,-30.972973379993743,100.0,0.0
Grid,50,30,100,100,inf,100.0,0.0
Greedy,50,30,100,100,-29.355627571082312,100.0,0.10477900505065918
PSO,50,30,100,65,-30.40125520750838,100.0,1.0245230197906494
DFO,50,30,100,100,-30.972973379993743,100.0,3.4421396255493164
Random,50,30,150,150,-31.264678614842243,100.0,0.0
Grid,50,30,150,150,inf,100.0,0.0
Greedy,50,30,150,150,-30.57072665911633,100.0,0.1205143928527832
PSO,50,30,150,85,-32.10284487562829,100.0,2.602843999862671
DFO,50,30,150,150,-31.264678614842243,100.0,4.0766706466674805
Random,50,40,50,50,inf,100.0,0.0010497570037841797
Grid,50,40,50,50,inf,100.0,0.0
Greedy,50,40,50,50,inf,100.0,0.0243527889251709
PSO,50,40,50,31,-31.094406730762067,100.0,0.7659697532653809
DFO,50,40,50,50,inf,100.0,2.3320045471191406
Random,50,40,100,100,inf,100.0,0.0
Grid,50,40,100,100,inf,100.0,0.0
Greedy,50,40,100,100,-30.43869948823236,100.0,0.0932607650756836
PSO,50,40,100,58,-31.372028514494808,100.0,1.7607612609863281
DFO,50,40,100,100,inf,100.0,4.702234506607056
Random,50,40,150,150,-30.69039715804494,100.0,0.0
Grid,50,40,150,150,inf,100.0,0.0
Greedy,50,40,150,150,-30.841178722546857,100.0,0.17834997177124023
PSO,50,40,150,98,-31.134063536312063,100.0,1.9299447536468506
DFO,50,40,150,150,-30.69039715804494,100.0,6.17693305015564
Random,50,50,50,50,-34.254594106940665,100.0,0.0010676383972167969
Grid,50,50,50,50,inf,100.0,0.0
Greedy,50,50,50,50,inf,100.0,0.020255088806152344
PSO,50,50,50,36,-30.992547671206548,100.0,0.7074778079986572
DFO,50,50,50,50,-34.254594106940665,100.0,4.290513753890991
Random,50,50,100,99,-34.29416571508995,100.0,0.0
Grid,50,50,100,100,inf,100.0,0.0
Greedy,50,50,100,100,-30.204165465871085,100.0,0.13514995574951172
PSO,50,50,100,57,-31.815474787788844,100.0,1.7566940784454346
DFO,50,50,100,99,-34.29416571508995,100.0,9.552035808563232
Random,50,50,150,150,inf,100.0,0.0
Grid,50,50,150,150,inf,100.0,0.0
Greedy,50,50,150,150,inf,100.0,0.06346678733825684
PSO,50,50,150,90,-30.080024278178374,100.0,2.1677730083465576
DFO,50,50,150,150,inf,100.0,14.848531246185303
Random,50,60,50,50,-33.97787697042195,100.0,0.0
Grid,50,60,50,50,inf,100.0,0.0010421276092529297
Greedy,50,60,50,50,inf,100.0,0.05334901809692383
PSO,50,60,50,33,-28.860135516924686,100.0,1.5314483642578125
DFO,50,60,50,50,-33.97787697042195,100.0,5.785390138626099
Random,50,60,100,100,-32.37299230295448,100.0,0.000995635986328125
Grid,50,60,100,100,inf,100.0,0.0
Greedy,50,60,100,100,inf,100.0,0.14156317710876465
PSO,50,60,100,54,-30.850136609639893,100.0,2.699453830718994
DFO,50,60,100,100,-32.37299230295448,100.0,11.237718105316162
Random,50,60,150,150,inf,100.0,0.0
Grid,50,60,150,150,inf,100.0,0.0
Greedy,50,60,150,150,-28.73334044417116,100.0,0.06566023826599121
PSO,50,60,150,98,-31.52140251426366,100.0,2.843296527862549
DFO,50,60,150,150,inf,100.0,18.18084692955017
Random,100,10,50,20,-35.200702829610194,100.0,0.0010061264038085938
Grid,100,10,50,43,inf,100.0,0.0
Greedy,100,10,50,49,inf,100.0,0.11439371109008789
PSO,100,10,50,14,-32.110638323372925,100.0,0.14534378051757812
DFO,100,10,50,20,-35.200702829610194,100.0,1.205873727798462
Random,100,10,100,47,-36.852997218450305,100.0,0.0
Grid,100,10,100,70,inf,100.0,0.0
Greedy,100,10,100,98,-37.101768900241595,100.0,0.10001659393310547
